release_date,family,model,model_size_class,total_params_B,active_params_B,transformer_layers,moe_layers,dense_ffn_layers,moe_layer_ratio_pct,routed_experts_per_moe_layer,topk_routed_per_moe_layer,shared_experts,active_expert_pct,active_parameter_pct,modelwide_routed_expert_modules,active_routed_expert_calls_per_token,modelwide_shared_expert_modules,layer_schedule_notes,disclosure_status,source_model_card,source_config,layer_source_url
2025-12-02,Mistral,Mistral Large 3,Large (≥300B),675.0,41.0,61,58,3,95.08196721311475,128.0,4.0,1,3.125,6.074074074074074,7424,232,58,"첫 3개 layer dense, 이후 MoE",official params/config,,,https://huggingface.co/mistralai/Mistral-Large-3-675B-Instruct-2512/blob/main/params.json
2026-02-16,Qwen,Qwen3.5-397B-A17B,Large (≥300B),397.0,17.0,60,60,0,100.0,512.0,10.0,1.0,1.953125,4.282115869017632,30720,600,60,text decoder 60개가 모두 MoE; vision tower 제외,public,,,https://huggingface.co/Qwen/Qwen3.5-397B-A17B/blob/main/config.json
2026-03-16,Mistral,Mistral Small 4,Medium (50–299B),119.0,6.0,36,36,0,100.0,128.0,4.0,1,3.125,5.042016806722689,4608,144,36,text decoder 36개가 모두 MoE; vision tower 제외,public,,,https://huggingface.co/mistralai/Mistral-Small-4-119B-2603/blob/main/config.json
2026-04-02,Google,Gemma 4 26B-A4B,Small (<50B),26.0,4.0,30,30,0,100.0,128.0,8.0,0.0,6.25,15.384615384615385,3840,240,0,text decoder 30개가 모두 MoE; vision tower 제외,public,,,https://huggingface.co/google/gemma-4-26b-a4b-it/blob/main/config.json
2026-04-15,Qwen,Qwen3.6-35B-A3B,Small (<50B),35.0,3.0,40,40,0,100.0,256.0,8.0,1.0,3.125,8.571428571428571,10240,320,40,text decoder 40개가 모두 MoE; vision tower 제외,public,,,https://huggingface.co/Qwen/Qwen3.6-35B-A3B/blob/main/config.json
2026-04-20,Kimi,Kimi K2.6,Large (≥300B),1000.0,32.0,61,60,1,98.36065573770492,384.0,8.0,1.0,2.083333333333333,3.2,23040,480,60,"첫 1개 layer dense, 이후 MoE",public,,,https://huggingface.co/moonshotai/Kimi-K2.6/blob/main/config.json
2026-04-24,DeepSeek,DeepSeek-V4-Flash,Medium (50–299B),284.0,13.0,43,43,0,100.0,256.0,6.0,1.0,2.34375,4.577464788732395,11008,258,43,43개 모두 MoE; 최초 3개는 hash routing이며 dense가 아님,public,,,https://huggingface.co/deepseek-ai/DeepSeek-V4-Flash/blob/main/config.json
2026-04-24,DeepSeek,DeepSeek-V4-Pro,Large (≥300B),1600.0,49.0,61,61,0,100.0,384.0,6.0,1.0,1.5625,3.0625,23424,366,61,61개 모두 MoE; 최초 3개는 hash routing이며 dense가 아님,public,,,https://huggingface.co/deepseek-ai/DeepSeek-V4-Pro/blob/main/config.json
2026-06-01,MiniMax,MiniMax M3,Large (≥300B),428.0,23.0,60,57,3,95.0,128.0,4.0,1.0,3.125,5.373831775700935,7296,228,57,"text decoder 첫 3개 dense, 이후 57개 MoE; vision encoder 제외",official open weights/config,https://huggingface.co/MiniMaxAI/MiniMax-M3,https://huggingface.co/MiniMaxAI/MiniMax-M3/blob/main/config.json,https://huggingface.co/MiniMaxAI/MiniMax-M3/blob/main/config.json
2026-06-16,GLM,GLM-5.2,Large (≥300B),744.0,40.0,78,75,3,96.15384615384616,256.0,8.0,1.0,3.125,5.376344086021505,19200,600,75,"첫 3개 layer dense, 이후 75개 MoE",public,,,https://huggingface.co/zai-org/GLM-5.2/blob/main/config.json
2026-06-25,Kimi,Kimi K2.7 Code,Large (≥300B),1000.0,32.0,61,60,1,98.36065573770492,384.0,8.0,1.0,2.083333333333333,3.2,23040,480,60,"첫 1개 layer dense, 이후 MoE",public,,,https://huggingface.co/moonshotai/Kimi-K2.7-Code/blob/main/config.json
2026-07-01,Qwen,Qwen3.7-Max,Unknown,,,,,,,,,,,,,,,Hosted 모델; layer 구조 미공개,hosted model; architecture undisclosed,,,
2026-07-16,Kimi,Kimi K3,Large (≥300B),2800.0,,,,,,896.0,16.0,,1.7857142857142856,,,,,Expert topology는 공개됐지만 layer 수는 아직 미공개,public architecture; active parameter count undisclosed,,,
2026-07-20,Qwen,Qwen3.8-Max-Preview,Unknown,,,,,,,,,,,,,,,Preview 모델; layer 구조 미공개,preview; architecture undisclosed,,,
2026-07-21,Motif Technologies,Motif-3-Beta,Large (≥300B),314.0,13.0,53,51,2,96.22641509433963,384.0,8.0,1.0,2.083333333333333,4.140127388535031,19584,408,51,"첫 2개 layer dense, 이후 51개 MoE",official beta checkpoint/config,https://huggingface.co/Motif-Technologies/Motif-3-Beta,https://huggingface.co/Motif-Technologies/Motif-3-Beta/blob/main/config.json,https://huggingface.co/Motif-Technologies/Motif-3-Beta/blob/main/config.json
